Customer_ID,Blue's Rating,Rating Given,Company Chosen,Starting Location,Ending Location,Started Time,Ending Time,Unavailable Scooter,Breakdown,Breakdown Time
393,0.478327228,8,1,Manhattan,Jones,403,478,FALSE,FALSE,0
467,0.483062517,0,1,Manhattan,Queens,467,581,FALSE,TRUE,478
484,0.481801025,0,0,Manhattan,Jones,478,534,TRUE,FALSE,0
403,0.478378378,8,0,Queens,Manhattan,412,481,FALSE,FALSE,0
433,0.481215945,8,1,Manhattan,Jones,442,486,FALSE,TRUE,481
427,0.481534911,9,1,Stony,Queens,436,483,FALSE,FALSE,0
475,0.483606557,1,1,Queens,Manhattan,472,548,FALSE,TRUE,483
394,0.478327228,9,1,Jones,Stony,403,484,FALSE,FALSE,0
470,0.481868132,3,1,Jones,Manhattan,468,517,FALSE,TRUE,484
420,0.481438515,9,0,Queens,Stony,432,487,FALSE,FALSE,0
419,0.48255814,9,1,Queens,Stony,431,488,FALSE,FALSE,0
465,0.483062517,4,1,Manhattan,Jones,465,518,FALSE,TRUE,488
438,0.483798253,8,0,Manhattan,Jones,446,489,FALSE,FALSE,0
493,0.478641549,0,0,Queens,Manhattan,488,569,TRUE,FALSE,0
430,0.479873491,5,0,Manhattan,Queens,439,528,FALSE,TRUE,490
436,0.482493595,9,0,Stony,Queens,443,490,FALSE,FALSE,0
439,0.483798253,9,0,Queens,Stony,446,490,FALSE,FALSE,0
494,0.47974583,0,0,Queens,Manhattan,489,582,TRUE,FALSE,0
441,0.481356883,9,1,Queens,Stony,448,491,FALSE,FALSE,0
400,0.479963845,9,1,Queens,Manhattan,409,492,FALSE,FALSE,0
431,0.479873491,9,0,Jones,Manhattan,439,492,FALSE,FALSE,0
458,0.481747788,8,1,Queens,Stony,461,492,FALSE,FALSE,0
414,0.47961279,9,0,Jones,Stony,424,493,FALSE,FALSE,0
461,0.483461963,9,0,Queens,Stony,462,493,FALSE,FALSE,0
395,0.47600243,8,1,Manhattan,Queens,405,494,FALSE,FALSE,0
424,0.482788545,9,1,Manhattan,Jones,434,494,FALSE,FALSE,0
402,0.478378378,8,1,Manhattan,Queens,412,495,FALSE,FALSE,0
415,0.47961279,8,1,Jones,Stony,425,495,FALSE,FALSE,0
380,0.476100629,8,1,Manhattan,Queens,386,496,FALSE,FALSE,0
406,0.478015449,8,0,Jones,Manhattan,419,497,FALSE,FALSE,0
425,0.481534911,9,0,Manhattan,Queens,436,497,FALSE,FALSE,0
452,0.4818005,9,1,Manhattan,Jones,456,497,FALSE,FALSE,0
455,0.48294982,6,1,Jones,Manhattan,460,514,FALSE,TRUE,497
411,0.478235294,9,1,Jones,Stony,422,498,FALSE,FALSE,0
409,0.479363208,9,0,Stony,Jones,421,499,FALSE,FALSE,0
429,0.48028777,8,1,Jones,Stony,438,508,FALSE,TRUE,499
434,0.482493595,6,1,Manhattan,Queens,443,528,FALSE,TRUE,500
466,0.483062517,9,0,Stony,Queens,466,500,FALSE,FALSE,0
471,0.481868132,8,0,Stony,Queens,469,501,FALSE,FALSE,0
449,0.482112912,8,1,Jones,Stony,453,504,FALSE,FALSE,0
495,0.483259798,2,1,Manhattan,Jones,493,548,FALSE,TRUE,504
457,0.481747788,9,1,Manhattan,Jones,461,507,FALSE,TRUE,505
421,0.481438515,8,1,Stony,Jones,432,506,FALSE,FALSE,0
422,0.481438515,8,1,Manhattan,Queens,433,512,FALSE,FALSE,0
463,0.483328741,9,0,Queens,Stony,464,512,FALSE,FALSE,0
488,0.479049907,4,1,Manhattan,Jones,484,547,FALSE,TRUE,512
462,0.483461963,9,0,Jones,Manhattan,462,516,FALSE,TRUE,513
497,0.478604177,2,0,Stony,Jones,497,573,FALSE,TRUE,513
